timestamp_s,errorx,errory,aileron,elevator,rudder,roll_deg,pitch_deg,roll_rate_dps,pitch_rate_dps,pid_roll_desired,pid_roll_P,pid_roll_I,pid_roll_D,pid_pitch_desired,pid_pitch_P,pid_pitch_I,pid_pitch_D,alt_rel_m,groundspeed_ms,throttle_pct,nav_pitch_deg,target_locked,dist_m
28377.634,-0.0725,-0.183366667,0,-0.0013,-0.0013,1.591,7.122,0.187,0.187,0,0,0,0,0,0,0,0,0,0,0,0,1,37
28377.666,-0.0725,-0.140366667,0,-0.0013,-0.0013,1.591,7.122,0.187,0.187,0,0,0,0,0,0,0,0,0,0,0,0,1,37
28377.702,-0.0725,-0.141466667,0,-0.0013,-0.0013,1.591,7.122,0.187,0.187,0,0,0,0,0,0,0,0,0,0,0,0,1,37
28377.734,-0.0725,-0.176666667,0,-0.0013,-0.0013,1.591,7.122,0.187,0.187,0,0,0,0,0,0,0,0,0,0,0,0,1,37
28377.772,-0.0725,-0.140166667,0,-0.0013,-0.0013,1.591,7.122,0.187,0.187,0,0,0,0,0,0,0,0,0,0,0,0,1,37
28377.803,-0.0725,-0.128466667,0,-0.0013,-0.0013,1.591,7.122,0.187,0.187,0,0,0,0,0,0,0,0,0,0,0,0,1,37
28377.835,-0.0725,-0.169966667,0,-0.0013,-0.0013,1.591,7.122,0.187,0.187,0,0,0,0,0,0,0,0,0,0,0,0,1,37
28377.866,-0.0725,-0.169966667,0,-0.0013,-0.0013,1.591,7.122,0.187,0.187,0,0,0,0,0,0,0,0,0,0,0,0,1,37
28377.902,-0.1016,-0.208766667,0,-0.0013,-0.0013,1.591,7.122,0.187,0.187,0,0,0,0,0,0,0,0,0,0,0,0,1,37
28377.933,-0.075,-0.217366667,0,-0.0013,-0.0013,1.591,7.122,0.187,0.187,0,0,0,0,0,0,0,0,0,0,0,0,1,37
28377.966,-0.075,-0.218266667,0,-0.0013,-0.0013,1.591,7.122,0.187,0.187,0,0,0,0,0,0,0,0,0,0,0,0,1,37
28377.999,-0.075,-0.221566667,0,-0.0013,-0.0013,1.591,7.122,0.187,0.187,0,0,0,0,0,0,0,0,0,0,0,0,1,37
28378.034,-0.075,-0.222566667,0,-0.0013,-0.0013,1.591,7.122,0.187,0.187,0,0,0,0,0,0,0,0,0,0,0,0,1,37
28378.065,-0.075,-0.275666667,0,-0.0013,-0.0013,1.591,7.122,0.187,0.187,0,0,0,0,0,0,0,0,0,0,0,0,1,37
28378.1,-0.075,-0.193366667,0,-0.0013,-0.0013,1.591,7.122,0.187,0.187,0,0,0,0,0,0,0,0,0,0,0,0,1,37
28378.133,-0.0434,-0.193366667,0,-0.0013,-0.0013,1.591,7.122,0.187,0.187,0,0,0,0,0,0,0,0,0,0,0,0,1,37
28378.169,-0.0435,-0.193366667,0,-0.0013,-0.0013,1.591,7.122,0.187,0.187,0,0,0,0,0,0,0,0,0,0,0,0,1,37
28378.199,-0.0361,-0.193366667,0,-0.0013,-0.0013,1.591,7.122,0.187,0.187,0,0,0,0,0,0,0,0,0,0,0,0,1,37
28378.234,-0.0374,-0.193366667,0,-0.0013,-0.0013,1.591,7.122,0.187,0.187,0,0,0,0,0,0,0,0,0,0,0,0,1,37
28378.267,-0.065,-0.152066667,0,-0.0013,-0.0013,1.591,7.122,0.187,0.187,0,0,0,0,0,0,0,0,0,0,0,0,1,37
28378.302,-0.065,-0.150666667,0,-0.0013,-0.0013,1.591,7.122,0.187,0.187,0,0,0,0,0,0,0,0,0,0,0,0,1,37
28378.334,-0.065,-0.099666667,0,-0.0013,-0.0013,1.591,7.122,0.187,0.187,0,0,0,0,0,0,0,0,0,0,0,0,1,37
28378.373,-0.0116,-0.108866667,0,-0.0013,-0.0013,1.591,7.122,0.187,0.187,0,0,0,0,0,0,0,0,0,0,0,0,1,37
28378.412,-0.0066,-0.102166667,0,-0.0013,-0.0013,1.591,7.122,0.187,0.187,0,0,0,0,0,0,0,0,0,0,0,0,1,37
28378.453,-0.003,-0.097366667,0,-0.0013,-0.0013,1.591,7.122,0.187,0.187,0,0,0,0,0,0,0,0,0,0,0,0,1,37
28378.481,0.0569,-0.112466667,0,-0.0013,-0.0013,1.591,7.122,0.187,0.187,0,0,0,0,0,0,0,0,0,0,0,0,1,37
28378.51,0.0997,-0.061866667,0,-0.0013,-0.0013,1.591,7.122,0.187,0.187,0,0,0,0,0,0,0,0,0,0,0,0,1,37
28378.54,0.1059,-0.149966667,0,-0.0013,-0.0013,1.591,7.122,0.187,0.187,0,0,0,0,0,0,0,0,0,0,0,0,1,37
28378.574,0.1293,-0.069066667,-0.0933,-0.3125,0,1.591,7.122,0.19,0.188,0,0,0,0,0,0,0,0,0,0,0,2.78,1,37
28378.605,0.1198,-0.143366667,-0.0933,-0.3125,0,1.591,7.122,0.19,0.188,0,0,0,0,0,0,0,0,0,0,0,2.78,1,37
