timestamp_s,errorx,errory,aileron,elevator,roll_deg,pitch_deg,roll_rate_dps,pitch_rate_dps,pid_roll_desired,pid_roll_P,pid_roll_I,pid_roll_D,pid_pitch_desired,pid_pitch_P,pid_pitch_I,pid_pitch_D,alt_rel_m,groundspeed_ms,throttle_pct,nav_pitch_deg,target_locked,dist_m
12898.118,+0.4675,+0.0733,0.1714,0.2171,2.563,-0.017,-5.652,0.015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.81,30.31,45,0.000,1,902.6
12898.183,+0.4333,+0.0505,0.1714,0.2171,2.137,-0.023,-4.709,0.023,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.81,30.31,45,0.000,1,902.6
12898.235,+0.4333,+0.0505,0.1714,0.2171,2.137,-0.023,-4.709,0.023,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.81,30.31,45,0.000,0,902.6
12898.288,+0.4333,+0.0505,0.1714,0.2171,1.816,-0.030,-4.729,0.013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.81,30.30,44,0.000,0,902.6
12898.339,+0.4333,+0.0505,0.1714,0.2171,1.816,-0.030,-4.729,0.013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.81,30.30,44,0.000,0,902.6
12898.396,+0.4333,+0.0505,0.1714,0.2171,1.465,-0.187,-4.320,-0.268,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.80,30.30,45,0.000,0,893.1
12898.457,+0.4207,+0.0461,0.1871,0.2529,1.465,-0.187,-4.320,-0.268,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.80,30.30,45,-1.190,1,893.1
12898.574,+0.4131,+0.0742,0.1871,0.2529,0.947,-0.351,-8.577,-0.319,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.80,30.29,45,-1.190,1,893.1
12898.674,+0.4135,+0.0633,0.1871,0.2529,1.342,-0.474,-27.873,-1.241,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.75,30.29,45,-1.190,1,883.4
12898.750,+0.4325,+0.0633,0.1871,0.2529,1.342,-0.474,-27.873,-1.241,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.75,30.29,45,-1.190,1,883.4
12898.803,+0.4121,+0.0906,0.1871,0.2529,2.491,-0.415,12.478,-1.008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.75,30.29,45,-1.190,1,883.4
12898.859,+0.4300,+0.1186,0.1871,0.2529,2.491,-0.415,12.478,-1.008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.75,30.29,45,-1.190,1,883.4
12898.917,+0.4300,+0.1239,0.1871,0.2529,2.357,-0.379,10.273,1.830,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.75,30.29,36,-1.190,1,883.4
12898.994,+0.4448,+0.0800,0.2186,0.2357,2.357,-0.537,0.376,-2.035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.66,30.29,45,-1.560,1,873.4
12899.069,+0.4173,+0.0597,0.2186,0.2357,2.357,-0.537,0.376,-2.035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.66,30.29,45,-1.560,1,873.4
12899.132,+0.4125,+0.0767,0.2186,0.2357,2.409,-0.287,0.019,2.726,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.66,30.29,45,-1.560,1,873.4
12899.213,+0.4125,+0.0767,0.2186,0.2357,3.109,-0.539,-3.575,1.468,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.66,30.28,41,-1.560,0,873.4
12899.271,+0.3995,+0.0642,0.2186,0.2357,3.312,-1.095,5.687,-8.253,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.66,30.28,44,-1.560,1,873.4
12899.330,+0.3826,-0.0014,0.2186,0.2357,3.312,-1.095,5.687,-8.253,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.66,30.28,44,-1.560,1,873.4
12899.380,+0.4364,+0.1204,0.2186,0.2357,3.269,-1.128,3.523,0.428,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.56,30.28,45,-1.560,1,863.2
12899.439,+0.3987,+0.2201,0.2186,0.2357,3.269,-1.128,3.523,0.428,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.56,30.28,45,-1.560,1,863.2
12899.496,+0.4150,+0.3189,0.2957,0.3214,4.242,-1.333,6.528,-1.521,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.56,30.28,28,12.680,1,863.2
12899.558,+0.3795,+0.1200,0.2957,0.3214,4.242,-1.333,6.528,-1.521,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.56,30.28,28,12.680,1,863.2
12899.671,+0.3772,+0.1637,0.2957,0.3214,4.242,-1.333,6.528,-1.521,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.56,30.28,28,12.680,1,863.2
12899.886,+0.4025,+0.1485,0.2957,0.3214,6.551,-0.996,3.827,3.155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.37,30.29,45,12.680,1,853.6
12899.968,+0.4165,+0.1367,0.2957,0.3214,6.551,-0.996,3.827,3.155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.37,30.29,45,12.680,1,853.6
12900.040,+0.3892,+0.0523,0.2957,0.3214,5.286,-1.487,21.253,-4.881,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.37,30.29,37,12.680,1,853.6
12900.113,+0.3562,+0.1851,0.2957,0.3214,2.748,-2.334,15.404,-3.173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.37,30.30,38,12.680,1,853.6
12900.164,+0.3098,+0.2185,0.2957,0.3214,1.905,-2.624,15.448,-4.210,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.37,30.31,45,-24.980,1,853.6
12900.220,+0.3850,+0.1433,-0.0371,0.3371,1.905,-2.624,15.448,-4.210,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.06,30.31,45,-24.980,1,843.0
12900.275,+0.2466,+0.1961,-0.0371,0.3371,-1.725,-3.157,15.297,-5.653,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.06,30.34,38,-24.980,1,843.0
12900.350,+0.2765,+0.3117,-0.0371,0.3371,-3.271,-3.320,10.188,-4.692,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.06,30.35,45,-24.980,1,843.0
12900.403,+0.2917,+0.3119,-0.0371,0.3371,-1.117,-3.669,-0.865,-3.412,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.06,30.38,22,-24.980,1,843.0
12900.450,+0.2996,+0.1631,-0.0371,0.3371,-1.393,-4.261,-8.354,-3.533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.46,30.40,33,-24.980,1,832.4
12900.503,+0.3196,+0.1900,-0.0371,0.3371,-1.580,-3.351,-19.632,-4.230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.46,30.44,45,3.090,1,832.4
12900.552,+0.3814,+0.4534,0.4843,0.3414,-1.580,-3.351,-19.632,-4.230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.46,30.44,45,3.090,1,832.4
12900.606,+0.3826,+0.3536,0.4843,0.3414,3.440,-2.491,-0.598,9.417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.46,30.49,22,3.090,1,832.4
12900.658,+0.3684,+0.3482,0.4843,0.3414,3.440,-2.491,-0.598,9.417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.46,30.49,22,3.090,1,832.4
12900.709,+0.3288,-0.1460,0.4843,0.3414,10.153,-2.835,82.208,-8.474,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.92,30.51,45,3.090,1,823.4
12900.767,+0.3851,+0.0528,0.4843,0.3414,10.153,-2.835,82.208,-8.474,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.92,30.51,45,3.090,1,823.4
12900.816,+0.4621,+0.4172,0.4843,0.3414,11.831,-3.357,-30.357,-3.462,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.92,30.52,45,3.090,1,823.4
12900.869,+0.4055,+0.3721,0.4843,0.3414,11.831,-3.357,-30.357,-3.462,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.92,30.52,45,3.090,1,823.4
12900.915,+0.3934,+0.7612,0.4843,0.3414,11.320,-2.820,-17.078,5.704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.92,30.54,22,3.090,1,823.4
