timestamp_s,errorx,errory,aileron,elevator,rudder,roll_deg,pitch_deg,roll_rate_dps,pitch_rate_dps,pid_roll_desired,pid_roll_P,pid_roll_I,pid_roll_D,pid_pitch_desired,pid_pitch_P,pid_pitch_I,pid_pitch_D,alt_rel_m,groundspeed_ms,throttle_pct,nav_pitch_deg,target_locked,dist_m
76577.466,+0.0000,+0.0000,0.0067,0.2888,0.0063,0.838,6.239,-0.422,-0.157,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.91,29.13,44,6.280,0,699.5
76577.503,+0.0000,+0.0000,0.0067,0.2888,0.0063,0.838,6.239,-0.422,-0.157,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.91,29.13,44,6.280,0,699.5
76577.536,+0.0000,+0.0000,0.0067,0.2888,0.0063,0.826,6.240,-0.397,0.097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.91,29.13,44,6.280,0,699.5
76577.570,+0.0000,+0.0000,0.0067,0.2888,0.0063,0.826,6.240,-0.397,0.097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.91,29.13,44,6.280,0,699.5
76577.599,+0.0000,+0.0000,0.0067,0.2888,0.0063,0.826,6.240,-0.397,0.097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.91,29.13,44,6.280,0,699.5
76577.631,+0.0000,+0.0000,0.0067,0.2888,0.0063,0.772,6.206,-0.376,-0.574,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.91,29.13,44,6.280,0,699.5
76577.663,+0.0000,+0.0000,0.0067,0.2888,0.0063,0.772,6.206,-0.376,-0.574,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.91,29.13,44,6.280,0,699.5
76577.699,+0.0000,+0.0000,0.0067,0.2888,0.0063,0.772,6.206,-0.376,-0.574,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.91,29.13,44,6.280,0,699.5
76577.739,+0.0000,+0.0000,0.0067,0.2888,0.0063,0.715,5.883,-0.475,-2.821,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.91,29.13,44,6.280,0,699.5
76578.020,+0.0000,+0.0000,0.0000,0.1462,0.0013,0.516,4.906,-0.648,-4.751,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.79,29.12,58,-0.820,0,688.4
76578.061,+0.0000,+0.0000,0.0000,0.1462,0.0013,0.500,4.783,-0.852,-6.886,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.79,29.12,44,-0.820,0,688.4
76578.098,+0.0000,+0.0000,0.0000,0.1462,0.0013,0.500,4.783,-0.852,-6.886,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.49,29.12,44,-0.820,0,676.6
76578.167,+0.0000,+0.0000,0.0000,0.1462,0.0013,0.374,3.813,-0.850,-5.961,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.49,29.08,44,-0.820,0,676.6
76578.211,+0.0000,+0.0000,0.0000,0.1462,0.0013,0.374,3.813,-0.850,-5.961,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.49,29.08,44,-0.820,0,676.6
76578.251,+0.0000,+0.0000,0.0000,0.1462,0.0013,0.374,3.813,-0.850,-5.961,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.49,29.08,44,-0.820,0,676.6
76578.287,+0.0000,+0.0000,0.0000,0.1462,0.0013,0.220,3.638,-0.316,-0.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.49,29.06,44,-0.820,0,676.6
76578.320,+0.0000,+0.0000,0.0067,0.1963,0.0037,0.220,3.638,-0.316,-0.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.49,29.06,44,-0.660,0,676.6
76578.353,+0.0000,+0.0000,0.0067,0.1963,0.0037,0.220,3.638,-0.316,-0.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.49,29.06,44,-0.660,0,676.6
76578.560,+0.0000,+0.0000,0.0067,0.1963,0.0037,0.156,2.849,-0.141,-3.730,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.84,29.03,54,-0.660,0,664.6
76578.597,+0.0000,+0.0000,0.0067,0.1963,0.0037,0.156,2.849,-0.141,-3.730,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.84,29.03,54,-0.660,0,664.6
76578.627,+0.0000,+0.0000,0.0067,0.1963,0.0037,0.156,2.849,-0.141,-3.730,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.84,29.03,54,-0.660,0,664.6
76578.655,+0.0000,+0.0000,0.0067,0.1963,0.0037,0.151,2.716,-0.117,-3.850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.84,29.02,44,-0.660,0,664.6
76578.689,+0.0000,+0.0000,0.0067,0.1963,0.0037,0.151,2.716,-0.117,-3.850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.84,29.02,44,-0.660,0,664.6
76578.721,+0.0000,+0.0000,0.0067,0.1963,0.0037,0.151,2.716,-0.117,-3.850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.84,29.02,44,-0.660,0,664.6
76578.748,+0.0000,+0.0000,0.0067,0.1963,0.0037,0.134,2.436,-0.157,-3.061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.05,29.01,44,-0.660,0,653.3
76578.779,+0.0000,+0.0000,0.0067,0.1963,0.0037,0.134,2.436,-0.157,-3.061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.05,29.01,44,-0.660,0,653.3
76578.814,+0.0000,+0.0000,0.0067,0.1775,0.0050,0.134,2.436,-0.157,-3.061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.05,29.01,44,-0.510,0,653.3
76580.042,+0.0000,+0.0000,0.0133,0.3463,0.0063,0.467,4.127,0.224,3.736,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.37,29.28,67,6.880,0,621.5
76580.082,+0.3875,+0.0833,0.0133,0.3463,0.0063,0.467,4.127,0.224,3.736,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.69,29.28,67,6.880,1,610.0
76580.119,+0.3875,+0.2833,0.0133,0.3463,0.0063,0.467,4.127,0.224,3.736,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.69,29.28,67,6.880,0,610.0
76580.158,+0.3875,+0.2833,0.0133,0.3463,0.0063,0.489,4.596,0.184,3.508,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.69,29.32,44,6.880,0,610.0
76580.200,+0.3875,+0.2833,0.0133,0.3463,0.0063,0.489,4.596,0.184,3.508,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.69,29.32,44,6.880,0,610.0
76580.239,+0.3875,+0.2833,0.0133,0.3463,0.0063,0.505,4.873,0.186,2.353,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.69,29.34,44,6.880,0,610.0
76580.279,+0.4095,-0.0731,0.0200,0.1588,0.0088,0.505,4.873,0.186,2.353,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.69,29.34,44,-0.160,1,610.0
76580.316,+0.4227,-0.1546,0.0200,0.1588,0.0088,0.505,4.873,0.186,2.353,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.69,29.34,44,-0.160,1,610.0
76580.354,+0.4251,-0.0234,0.0200,0.1588,0.0088,0.536,5.254,0.144,2.888,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.69,29.35,44,-0.160,1,610.0
76580.391,+0.4000,-0.0649,0.0200,0.1588,0.0088,0.536,5.254,0.144,2.888,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.69,29.35,44,-0.160,1,610.0
76580.429,+0.4000,-0.0338,0.0200,0.1588,0.0088,0.536,5.254,0.144,2.888,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.28,29.35,44,-0.160,1,598.0
76580.466,+0.4000,-0.0746,0.0200,0.1588,0.0088,0.510,4.689,-0.149,-6.617,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.28,29.32,44,-0.160,1,598.0
76580.499,+0.4000,-0.0067,0.0200,0.1588,0.0088,0.510,4.689,-0.149,-6.617,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.28,29.32,44,-0.160,1,598.0
76580.532,+0.4000,+0.1933,0.0200,0.1588,0.0088,0.634,3.698,0.348,-6.573,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.28,29.27,44,-0.160,0,598.0
76580.568,+0.4162,+0.1877,0.0200,0.1588,0.0088,0.634,3.698,0.348,-6.573,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.28,29.27,44,-0.160,1,598.0
76580.601,+0.4025,+0.0647,0.0200,0.1588,0.0088,0.634,3.698,0.348,-6.573,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.28,29.27,44,-0.160,1,598.0
76580.636,+0.4025,+0.2647,0.0200,0.1588,0.0088,0.651,3.560,0.944,-6.861,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.28,29.26,44,-0.160,0,598.0
76580.669,+0.4025,+0.2647,0.0200,0.1588,0.0088,0.651,3.560,0.944,-6.861,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.28,29.26,44,-0.160,0,598.0
76580.698,+0.4025,+0.2647,0.0200,0.1588,0.0088,0.651,3.560,0.944,-6.861,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.28,29.26,44,-0.160,0,598.0
76580.727,+0.4025,+0.2647,0.0200,0.1588,0.0088,1.111,2.680,3.457,-5.845,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.28,29.26,44,-0.160,0,598.0
76580.755,+0.4025,+0.2647,0.0200,0.1588,0.0088,1.111,2.680,3.457,-5.845,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.86,29.21,44,-0.160,0,589.5
76580.788,+0.4177,+0.3608,0.0733,0.2225,0.0300,1.111,2.680,3.457,-5.845,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.86,29.21,44,-0.510,1,589.5
76580.820,+0.4177,+0.5608,0.0733,0.2225,0.0300,1.111,2.680,3.457,-5.845,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.86,29.21,44,-0.510,0,589.5
76580.848,+0.4177,+0.5608,0.0733,0.2225,0.0300,1.700,1.982,3.584,-3.681,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.86,29.16,44,-0.510,0,589.5
76580.883,+0.4177,+0.5608,0.0733,0.2225,0.0300,1.700,1.982,3.584,-3.681,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.86,29.16,44,-0.510,0,589.5
76580.914,+0.4177,+0.5608,0.0733,0.2225,0.0300,1.700,1.982,3.584,-3.681,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.86,29.16,44,-0.510,0,589.5
76580.947,+0.4177,+0.5608,0.0733,0.2225,0.0300,1.992,1.674,4.103,-3.789,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.86,29.15,44,-0.510,0,589.5
76580.983,+0.4177,+0.5608,0.0733,0.2225,0.0300,1.992,1.674,4.103,-3.789,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.86,29.15,44,-0.510,0,589.5
76581.017,+0.4177,+0.5608,0.0733,0.2225,0.0300,1.992,1.674,4.103,-3.789,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.86,29.15,44,-0.510,0,589.5
76581.048,+0.4177,+0.5608,0.0733,0.2225,0.0300,1.992,1.674,4.103,-3.789,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.86,29.15,44,-0.510,0,589.5
76581.083,+0.4177,+0.5608,0.0733,0.2225,0.0300,2.496,1.471,4.691,-1.191,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.86,29.13,44,-0.510,0,589.5
76581.913,+0.4177,+0.5608,-0.1067,0.3362,-0.0437,4.188,2.659,-10.383,1.992,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.14,29.18,67,6.190,0,558.2
76581.946,+0.4177,+0.5608,-0.1067,0.3362,-0.0437,2.659,3.049,-10.491,3.315,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.14,29.20,44,6.190,0,558.2
76581.979,+0.4177,+0.5608,-0.1067,0.3362,-0.0437,2.659,3.049,-10.491,3.315,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.14,29.20,44,6.190,0,558.2
76582.013,+0.4025,+0.1333,-0.1067,0.3362,-0.0437,2.659,3.049,-10.491,3.315,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.14,29.20,44,6.190,1,558.2
76582.046,+0.4025,+0.0503,-0.1067,0.3362,-0.0437,1.296,3.478,-10.459,3.232,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.14,29.23,44,6.190,1,558.2
76582.078,+0.3377,-0.0029,-0.1067,0.3362,-0.0437,1.296,3.478,-10.459,3.232,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.34,29.23,44,6.190,1,547.1
76582.113,+0.4269,+0.0381,-0.1067,0.3362,-0.0437,1.296,3.478,-10.459,3.232,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.34,29.23,44,6.190,1,547.1
76582.146,+0.3691,-0.0961,-0.1067,0.3362,-0.0437,0.379,3.838,-7.412,2.806,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.34,29.26,44,6.190,1,547.1
76582.184,+0.3699,-0.0538,-0.1067,0.3362,-0.0437,0.379,3.838,-7.412,2.806,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.34,29.26,44,6.190,1,547.1
76582.216,+0.3950,+0.0800,-0.1067,0.3362,-0.0437,0.379,3.838,-7.412,2.806,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.34,29.26,44,6.190,1,547.1
76582.249,+0.3639,-0.0861,-0.1067,0.3362,-0.0437,0.379,3.838,-7.412,2.806,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.34,29.26,44,6.190,1,547.1
76582.285,+0.3925,-0.0115,-0.1067,0.3362,-0.0437,-0.571,3.687,-7.482,-1.144,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.34,29.29,44,6.190,1,547.1
76582.319,+0.3925,+0.0600,0.0667,0.1913,0.0288,-0.571,3.687,-7.482,-1.144,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.34,29.29,44,-0.580,1,547.1
76582.352,+0.3615,+0.1013,0.0667,0.1913,0.0288,-0.457,3.455,0.153,-1.019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.34,29.30,44,-0.580,1,547.1
76582.385,+0.4211,+0.0633,0.0667,0.1913,0.0288,-0.457,3.455,0.153,-1.019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.34,29.30,44,-0.580,1,547.1
76582.419,+0.3616,+0.1458,0.0667,0.1913,0.0288,-0.457,3.455,0.153,-1.019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.66,29.30,44,-0.580,1,534.9
76582.460,+0.3900,+0.1039,0.0667,0.1913,0.0288,-0.440,3.426,0.559,-0.661,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.66,29.30,44,-0.580,1,534.9
76582.494,+0.3590,+0.1147,0.0667,0.1913,0.0288,-0.440,3.426,0.559,-0.661,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.66,29.30,44,-0.580,1,534.9
76582.530,+0.3875,+0.0767,0.0667,0.1913,0.0288,-0.440,3.426,0.559,-0.661,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.66,29.30,44,-0.580,1,534.9
76582.563,+0.4193,+0.2039,0.0667,0.1913,0.0288,-0.362,2.696,0.419,-5.071,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.66,29.27,44,-0.580,1,534.9
76582.597,+0.4193,+0.4039,0.0667,0.1913,0.0288,-0.362,2.696,0.419,-5.071,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.66,29.27,44,-0.580,0,534.9
76582.631,+0.4229,+0.2843,0.0667,0.1913,0.0288,-0.315,2.099,0.285,-4.553,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.66,29.24,44,-0.580,1,534.9
76582.663,+0.4270,+0.2021,0.0667,0.1913,0.0288,-0.315,2.099,0.285,-4.553,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.66,29.24,44,-0.580,1,534.9
76582.693,+0.4314,+0.2589,0.0667,0.1913,0.0288,-0.315,2.099,0.285,-4.553,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.66,29.24,44,-0.580,1,534.9
76582.724,+0.4669,+0.2671,0.0667,0.1913,0.0288,0.467,1.583,6.511,-3.177,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.66,29.24,44,-0.580,1,534.9
