timestamp_s,errorx,errory,aileron,elevator,rudder,roll_deg,pitch_deg,roll_rate_dps,pitch_rate_dps,pid_roll_desired,pid_roll_P,pid_roll_I,pid_roll_D,pid_pitch_desired,pid_pitch_P,pid_pitch_I,pid_pitch_D,alt_rel_m,groundspeed_ms,throttle_pct,nav_pitch_deg,target_locked,dist_m
208210.443,+0.9475,-0.3600,-0.0175,0.3525,0.0000,10.393,0.946,-2.297,1.226,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.85,24.95,45,1.940,1,953.2
208210.492,+0.8810,-0.3896,-0.0175,0.3525,0.0000,10.393,0.946,-2.297,1.226,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.85,24.95,45,1.940,1,953.2
208210.547,+0.8016,-0.4161,-0.0175,0.3525,0.0000,10.141,0.814,-2.358,-0.798,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.85,24.93,45,1.940,1,953.2
208210.585,+0.8955,-0.4060,-0.0175,0.3525,0.0000,10.141,0.814,-2.358,-0.798,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.85,24.93,45,1.940,1,953.2
208210.625,+0.8402,-0.4088,-0.0175,0.3525,0.0000,9.271,0.596,-2.377,-1.092,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.96,24.90,45,1.940,1,945.0
208210.666,+0.8614,-0.4107,-0.0175,0.3525,0.0000,9.271,0.596,-2.377,-1.092,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.96,24.90,45,1.940,1,945.0
208210.705,+0.8541,-0.4156,-0.0175,0.3525,0.0000,9.271,0.596,-2.377,-1.092,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.96,24.90,45,1.940,1,945.0
208210.747,+0.8271,-0.3833,-0.0175,0.2900,0.0000,8.014,0.374,-13.086,-0.772,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.96,24.88,45,-1.160,1,945.0
208210.787,+0.7091,-0.3833,-0.0175,0.2900,0.0000,7.805,0.072,-7.122,-2.640,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.96,24.87,45,-1.160,1,945.0
208210.826,+0.8243,-0.3833,-0.0175,0.2900,0.0000,7.805,0.072,-7.122,-2.640,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.96,24.87,45,-1.160,1,945.0
208210.865,+0.7918,-0.3833,-0.0175,0.2900,0.0000,7.805,0.072,-7.122,-2.640,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.96,24.87,45,-1.160,1,945.0
208210.903,+0.7259,-0.4946,-0.0175,0.2900,0.0000,7.571,-0.299,-2.066,-3.171,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.96,24.85,45,-1.160,1,945.0
208210.948,+0.6897,-0.4864,-0.0175,0.2900,0.0000,7.571,-0.299,-2.066,-3.171,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.98,24.85,45,-1.160,1,937.5
208210.989,+0.7580,-0.3691,-0.0175,0.2900,0.0000,7.571,-0.299,-2.066,-3.171,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.98,24.85,45,-1.160,1,937.5
208211.033,+0.7550,-0.3355,-0.0175,0.2900,0.0000,7.227,-0.625,-2.721,-2.076,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.98,24.84,45,-1.160,1,937.5
208211.092,+0.7453,-0.3435,-0.0175,0.2900,0.0000,7.084,-0.896,-0.324,-2.559,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.98,24.84,45,-1.160,1,937.5
208211.137,+0.7626,-0.3234,-0.0175,0.2900,0.0000,7.084,-0.896,-0.324,-2.559,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.98,24.84,45,-1.160,1,937.5
208211.180,+0.7565,-0.3153,-0.0175,0.2900,0.0000,7.084,-0.896,-0.324,-2.559,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.98,24.84,45,-1.160,1,937.5
208211.222,+0.7487,-0.3391,-0.0175,0.2900,0.0000,7.026,-1.277,-0.251,-2.852,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.98,24.84,45,-1.160,1,937.5
208211.262,+0.7434,-0.3012,0.0475,0.2750,0.0000,7.026,-1.277,-0.251,-2.852,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.84,24.84,45,-3.350,1,928.9
208211.305,+0.7402,-0.3301,0.0475,0.2750,0.0000,7.279,-1.636,0.222,-3.001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.84,24.84,46,-3.350,1,928.9
208211.349,+0.6893,-0.2643,0.0475,0.2750,0.0000,7.279,-1.636,0.222,-3.001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.84,24.84,46,-3.350,1,928.9
208211.392,+0.7259,-0.2517,0.0475,0.2750,0.0000,7.499,-1.955,2.825,-3.064,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.84,24.85,46,-3.350,1,928.9
208211.435,+0.7204,-0.2739,0.0475,0.2750,0.0000,7.499,-1.955,2.825,-3.064,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.84,24.85,46,-3.350,1,928.9
208211.474,+0.7121,-0.2276,0.0475,0.2750,0.0000,7.499,-1.955,2.825,-3.064,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.84,24.85,46,-3.350,1,928.9
208211.518,+0.7110,-0.1925,0.0475,0.2750,0.0000,7.499,-1.955,2.825,-3.064,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.84,24.85,46,-3.350,1,928.9
208211.558,+0.7026,-0.2401,0.0475,0.2750,0.0000,8.327,-2.430,5.982,-3.055,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.84,24.87,46,-3.350,1,928.9
208211.611,+0.7095,-0.1954,0.0475,0.2750,0.0000,8.765,-2.736,6.258,-3.047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.54,24.88,46,-3.350,1,920.8
208211.653,+0.6692,-0.1552,0.0475,0.2750,0.0000,8.765,-2.736,6.258,-3.047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.54,24.88,46,-3.350,1,920.8
208211.698,+0.7141,-0.1832,0.0475,0.2750,0.0000,9.445,-3.144,6.324,-3.011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.54,24.91,47,-3.350,1,920.8
208211.742,+0.6375,-0.0391,0.0775,0.2725,0.0000,9.445,-3.144,6.324,-3.011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.54,24.91,47,-5.440,1,920.8
208211.792,+0.7035,-0.1287,0.0775,0.2725,0.0000,10.083,-3.471,7.612,-2.979,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.54,24.93,47,-5.440,1,920.8
208211.844,+0.6600,-0.0912,0.0775,0.2725,0.0000,10.083,-3.471,7.612,-2.979,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.54,24.93,47,-5.440,1,920.8
208211.888,+0.6423,-0.0842,0.0775,0.2725,0.0000,10.083,-3.471,7.612,-2.979,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.54,24.93,47,-5.440,1,920.8
208211.928,+0.6558,-0.0966,0.0775,0.2725,0.0000,10.850,-3.872,7.666,-2.943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.12,24.97,47,-5.440,1,913.5
208211.971,+0.6777,-0.0909,0.0775,0.2725,0.0000,11.481,-4.172,7.692,-2.812,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.12,25.00,48,-5.440,1,913.5
