timestamp_s,errorx,errory,aileron,elevator,rudder,roll_deg,pitch_deg,roll_rate_dps,pitch_rate_dps,pid_roll_desired,pid_roll_P,pid_roll_I,pid_roll_D,pid_pitch_desired,pid_pitch_P,pid_pitch_I,pid_pitch_D,alt_rel_m,groundspeed_ms,throttle_pct,nav_pitch_deg,target_locked,dist_m
76993.069,+0.0000,+0.0000,0.0333,0.2875,0.0150,-3.700,5.891,1.643,0.488,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.20,29.49,44,5.990,0,844.7
76993.103,+0.0000,+0.0000,0.0333,0.2875,0.0150,-3.700,5.891,1.643,0.488,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.20,29.49,44,5.990,0,844.7
76993.135,+0.0000,+0.0000,0.0333,0.2875,0.0150,-3.633,5.905,1.363,0.484,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.20,29.49,44,5.990,0,844.7
76993.167,-0.5375,+0.0967,0.0333,0.2875,0.0150,-3.633,5.905,1.363,0.484,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.20,29.49,44,5.990,1,844.7
76993.196,-0.5375,+0.2967,0.0333,0.2875,0.0150,-3.633,5.905,1.363,0.484,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.20,29.49,44,5.990,0,844.7
76993.228,-0.5375,+0.2967,0.0333,0.2875,0.0150,-3.467,5.941,1.384,0.501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.20,29.49,44,5.990,0,844.7
76993.263,-0.5375,+0.2967,0.0333,0.2875,0.0150,-3.467,5.941,1.384,0.501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.20,29.48,44,5.990,0,844.7
76993.301,-0.5375,+0.2967,0.0333,0.2875,0.0150,-3.467,5.941,1.384,0.501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.10,29.48,44,5.990,0,834.4
76993.334,-0.5375,+0.2967,0.0400,0.1750,0.0175,-3.467,5.941,1.384,0.501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.10,29.48,44,-0.200,0,834.4
76993.364,-0.5375,+0.2967,0.0400,0.1750,0.0175,-3.467,5.941,1.384,0.501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.10,29.48,44,-0.200,0,834.4
