timestamp_s,errorx,errory,aileron,elevator,rudder,roll_deg,pitch_deg,roll_rate_dps,pitch_rate_dps,pid_roll_desired,pid_roll_P,pid_roll_I,pid_roll_D,pid_pitch_desired,pid_pitch_P,pid_pitch_I,pid_pitch_D,alt_rel_m,groundspeed_ms,throttle_pct,nav_pitch_deg,target_locked,dist_m
2291.433,+0.7562,-0.0889,-0.0533,-0.0429,-0.6086,-0.561,-3.426,-5.814,0.856,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.58,23.15,45,-0.180,1,893.1
2291.463,+0.8128,-0.1392,-0.0600,-0.0400,-0.6114,-0.855,-3.377,-5.495,0.998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.58,23.15,45,-0.260,1,893.1
2291.501,+0.7836,-0.2160,-0.0600,-0.0371,-0.6143,-0.866,-3.375,-5.419,0.998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.58,23.15,45,-0.290,1,893.1
2291.534,+0.7884,-0.1957,-0.0667,-0.0357,-0.6157,-1.114,-3.340,-5.098,0.701,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.58,23.15,45,-0.310,1,893.1
2291.620,+0.7759,-0.1513,-0.0667,-0.0357,-0.6157,-1.114,-3.340,-5.098,0.701,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.58,23.15,45,-0.310,1,893.1
2291.651,+0.8214,-0.1672,-0.0667,-0.0357,-0.6157,-1.114,-3.340,-5.098,0.701,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.58,23.15,45,-0.310,1,893.1
2291.679,+0.8013,-0.1763,-0.0667,-0.0357,-0.6157,-1.377,-3.317,-4.878,0.374,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.58,23.15,45,-0.400,1,893.1
2291.706,+0.8361,-0.1821,-0.0733,-0.0314,-0.6143,-1.589,-3.290,-2.748,1.142,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.58,23.15,45,-0.510,1,893.1
2291.730,+0.8123,-0.1923,-0.0733,-0.0314,-0.6143,-1.589,-3.290,-2.748,1.142,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.46,23.16,44,-0.510,1,888.6
2291.769,+0.8242,-0.2135,-0.0800,-0.0286,-0.6143,-1.675,-3.239,-0.902,0.879,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.46,23.16,44,-0.680,1,888.6
2291.805,+0.8073,-0.2260,-0.0867,-0.0243,-0.6100,-1.690,-3.209,-0.464,1.224,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.46,23.16,44,-0.760,1,888.6
2291.832,+0.8162,-0.2030,-0.0867,-0.0200,-0.6029,-1.752,-2.935,-0.486,3.128,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.46,23.16,44,-0.880,1,888.6
2291.871,+0.8103,-0.2328,-0.0933,-0.0171,-0.5971,-1.752,-2.935,-0.486,3.128,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.35,23.18,44,-1.010,1,884.3
2291.917,+0.8087,-0.2274,-0.1000,-0.0114,-0.5914,-1.762,-2.757,0.113,3.325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.35,23.18,44,-1.340,1,884.3
2291.944,+0.8234,-0.2230,-0.1000,-0.0086,-0.5886,-1.748,-2.600,0.550,2.824,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.35,23.18,44,-1.510,1,884.3
2291.975,+0.8211,-0.2190,-0.1067,-0.0043,-0.5814,-1.748,-2.595,0.533,2.842,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.35,23.18,44,-1.690,1,884.3
2292.002,+0.8279,-0.2311,-0.1067,-0.0043,-0.5814,-1.716,-2.470,0.846,2.442,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.35,23.18,44,-1.690,1,884.3
