timestamp_s,errorx,errory,aileron,elevator,rudder,roll_deg,pitch_deg,roll_rate_dps,pitch_rate_dps,pid_roll_desired,pid_roll_P,pid_roll_I,pid_roll_D,pid_pitch_desired,pid_pitch_P,pid_pitch_I,pid_pitch_D,alt_rel_m,groundspeed_ms,throttle_pct,nav_pitch_deg,target_locked,dist_m
3330.092,-0.2396,-0.3111,-0.0333,-0.0571,-0.5971,3.509,-3.737,0.167,0.311,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.70,23.90,45,-0.220,1,640.5
3330.118,-0.2396,-0.3111,-0.0333,-0.0586,-0.6014,3.509,-3.737,0.167,0.311,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.70,23.90,45,-0.330,1,640.5
3330.149,-0.2396,-0.3111,-0.0333,-0.0586,-0.6014,3.509,-3.737,0.167,0.311,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.70,23.90,45,-0.330,1,640.5
3330.178,-0.2396,-0.3111,-0.0333,-0.0586,-0.6014,3.506,-3.733,0.175,0.303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.70,23.90,45,-0.330,1,640.5
3330.223,-0.2396,-0.3463,-0.0267,-0.0614,-0.6071,3.506,-3.733,0.178,0.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.70,23.89,45,-0.510,1,640.5
3330.251,-0.2707,-0.3700,-0.0267,-0.0629,-0.6057,3.529,-3.607,0.621,2.871,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.70,23.89,45,-0.680,1,640.5
3330.277,-0.2095,-0.3758,-0.0267,-0.0629,-0.5971,3.529,-3.607,0.621,2.871,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.70,23.89,44,-0.820,1,640.5
3330.317,-0.2396,-0.3993,-0.0200,-0.0629,-0.5914,3.529,-3.208,-0.139,3.871,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.57,23.89,44,-0.990,1,635.6
3330.354,-0.2396,-0.3714,-0.0200,-0.0629,-0.5886,3.529,-3.204,-0.320,3.737,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.57,23.88,44,-1.220,1,635.6
3330.382,-0.2396,-0.4953,-0.0200,-0.0629,-0.5886,3.529,-3.204,-0.320,3.737,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.57,23.88,44,-1.330,1,635.6
3330.407,-0.2396,-0.4037,-0.0200,-0.0629,-0.5886,3.489,-3.039,-0.757,2.919,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.57,23.88,44,-1.670,1,635.6
3330.442,-0.2396,-0.4359,-0.0200,-0.0657,-0.5829,3.437,-2.924,-0.977,2.306,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.57,23.88,44,-1.670,1,635.6
