timestamp_s,errorx,errory,aileron,elevator,rudder,roll_deg,pitch_deg,roll_rate_dps,pitch_rate_dps,pid_roll_desired,pid_roll_P,pid_roll_I,pid_roll_D,pid_pitch_desired,pid_pitch_P,pid_pitch_I,pid_pitch_D,alt_rel_m,groundspeed_ms,throttle_pct,nav_pitch_deg,target_locked,dist_m
2355.699,+0.4354,-0.2667,0.0067,-0.0914,-0.6200,6.300,-3.895,-4.034,2.059,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,89.13,23.83,45,-0.540,1,791.6
2355.757,+0.4197,-0.3503,0.0067,-0.0900,-0.6214,6.098,-3.818,-4.103,1.840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.91,23.83,45,-0.700,1,786.1
2355.815,+0.4333,-0.3626,0.0067,-0.0886,-0.6171,5.899,-3.714,-4.009,2.635,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.91,23.83,45,-0.790,1,786.1
2355.868,+0.4333,-0.3793,0.0033,-0.0871,-0.6129,5.688,-3.568,-4.315,3.312,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.91,23.83,44,-0.860,1,786.1
2355.929,+0.4333,-0.3536,0.0000,-0.0814,-0.6014,5.439,-3.398,-4.825,3.449,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.91,23.83,44,-1.500,1,786.1
2355.990,+0.4333,-0.4141,-0.0033,-0.0786,-0.5986,5.182,-3.246,-5.136,3.204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.79,23.83,44,-1.730,1,782.7
2356.043,+0.4333,-0.4431,-0.0133,-0.0714,-0.5914,4.620,-3.017,-6.612,1.976,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.79,23.83,44,-2.190,1,782.7
2356.104,+0.4333,-0.4172,-0.0167,-0.0700,-0.5871,4.278,-2.967,-7.028,1.156,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.79,23.83,44,-2.510,1,782.7
2356.164,+0.4180,-0.4299,-0.0200,-0.0657,-0.5800,3.525,-2.875,-7.788,1.863,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.65,23.82,44,-3.170,1,777.0
2356.221,+0.4153,-0.4443,-0.0300,-0.0571,-0.5629,3.120,-2.778,-8.004,2.196,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.65,23.82,44,-3.780,1,777.0
2356.295,+0.4164,-0.4612,-0.0333,-0.0529,-0.5557,3.120,-2.778,-8.004,2.196,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.65,23.82,44,-3.780,1,777.0
2356.351,+0.4108,-0.4722,-0.0333,-0.0529,-0.5557,3.120,-2.778,-8.004,2.196,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.65,23.82,44,-3.780,1,777.0
