timestamp_s,errorx,errory,aileron,elevator,rudder,roll_deg,pitch_deg,roll_rate_dps,pitch_rate_dps,pid_roll_desired,pid_roll_P,pid_roll_I,pid_roll_D,pid_pitch_desired,pid_pitch_P,pid_pitch_I,pid_pitch_D,alt_rel_m,groundspeed_ms,throttle_pct,nav_pitch_deg,target_locked,dist_m
5788.923,-0.2167,-0.2778,-0.0467,0.1829,-0.5886,-5.576,-4.701,1.283,0.805,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.20,24.52,45,-0.400,1,742.5
5789.033,-0.1888,-0.2778,-0.0467,0.1829,-0.6000,-5.293,-4.698,1.266,-0.255,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.20,24.53,45,-0.910,1,742.5
5789.140,-0.1820,-0.2946,-0.0467,0.1800,-0.6000,-5.088,-4.755,1.532,-0.022,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.01,24.53,45,-1.290,1,737.7
5789.229,-0.1822,-0.2815,-0.0467,0.1800,-0.5971,-4.938,-4.775,1.529,-0.086,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.01,24.53,45,-1.650,1,737.7
5789.323,-0.1790,-0.2815,-0.0400,0.1771,-0.5943,-4.814,-4.785,3.522,0.034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.77,24.53,44,-2.030,1,731.6
5789.424,-0.1760,-0.2991,-0.0400,0.1771,-0.5943,-4.612,-4.806,3.716,-0.124,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.77,24.53,44,-2.220,1,731.6
5789.510,-0.1690,-0.3255,-0.0400,0.1757,-0.5929,-4.419,-4.763,3.768,2.925,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.77,24.53,44,-2.430,1,731.6
5789.610,-0.1675,-0.4173,-0.0333,0.1771,-0.5571,-3.971,-4.127,4.661,7.563,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.62,24.55,44,-3.160,1,727.9
5789.708,-0.1631,-0.4988,-0.0267,0.1729,-0.5300,-3.043,-3.025,4.218,3.999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.44,24.57,44,-4.390,1,722.9
5789.808,-0.1592,-0.4977,-0.0200,0.1743,-0.4943,-2.767,-2.633,1.553,4.494,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.44,24.57,44,-6.130,1,722.9
5789.905,-0.1545,-0.5489,-0.0200,0.1757,-0.4671,-2.689,-2.402,2.000,4.058,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.35,24.57,43,-7.320,1,717.9
5789.991,-0.1596,-0.5187,-0.0133,0.1757,-0.4557,-2.527,-2.436,1.240,-3.018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.35,24.55,43,-8.340,1,717.9
5790.084,-0.1475,-0.4559,-0.0133,0.1743,-0.4486,-2.433,-2.862,1.069,-3.305,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.34,24.54,42,-10.240,1,713.0
5790.169,-0.1531,-0.4001,-0.0067,0.1771,-0.4114,-2.372,-2.969,1.359,-1.203,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.34,24.53,42,-10.970,1,713.0
5790.247,-0.1503,-0.3900,-0.0067,0.1743,-0.3971,-2.216,-3.015,1.987,-0.462,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.34,24.52,42,-11.490,1,713.0
5790.319,-0.1735,-0.3795,0.0000,0.1743,-0.3914,-2.070,-3.151,0.991,-1.845,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.31,24.52,42,-11.720,1,708.1
5790.401,-0.1508,-0.3768,0.0000,0.1743,-0.3857,-2.045,-3.249,0.051,-1.526,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.31,24.51,41,-11.940,1,708.1
5790.490,-0.1495,-0.2748,0.0000,0.1743,-0.3857,-2.045,-3.249,0.051,-1.526,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.31,24.51,41,-11.940,1,708.1
5790.559,-0.1448,-0.1684,0.0000,0.1686,-0.4029,-2.048,-3.506,-0.753,-8.458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.31,24.51,41,-12.400,1,708.1
5790.633,-0.1435,-0.1019,0.0000,0.1671,-0.4271,-2.341,-5.581,-2.368,-13.907,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.27,24.51,41,-12.600,1,703.1
5790.717,-0.1542,+0.0176,0.0000,0.1643,-0.4357,-2.576,-6.723,-2.327,-10.073,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.14,24.52,41,-12.060,1,698.3
5790.791,-0.1542,+0.0441,0.0000,0.1614,-0.4643,-2.844,-7.663,-2.451,-9.237,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.14,24.53,41,-11.430,1,698.3
5790.875,-0.1657,+0.1027,0.0000,0.1557,-0.4900,-2.966,-8.127,-2.263,-8.658,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.82,24.55,41,-10.110,1,693.3
5790.950,-0.1437,+0.0976,0.0000,0.1557,-0.4957,-3.062,-8.514,-1.356,-6.244,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.82,24.55,41,-9.740,1,693.3
5791.026,-0.1542,+0.0707,0.0000,0.1514,-0.5229,-3.204,-9.001,-2.143,-4.065,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.82,24.59,42,-8.790,1,693.3
5791.105,-0.1300,+0.0514,0.0000,0.1514,-0.5400,-3.324,-9.245,-2.932,-4.659,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.34,24.64,42,-8.680,1,688.4
5791.177,-0.1107,+0.0842,0.0000,0.1529,-0.5500,-3.475,-9.507,-3.639,-5.440,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.34,24.66,42,-8.810,1,688.4
5791.242,-0.1152,+0.1444,0.0000,0.1514,-0.5571,-3.859,-10.114,-4.042,-6.160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.34,24.66,42,-8.870,1,688.4
5791.317,-0.1143,+0.1499,0.0000,0.1529,-0.5700,-4.053,-10.417,-3.708,-6.029,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,85.91,24.72,42,-8.270,1,684.7
