timestamp_s,errorx,errory,aileron,elevator,rudder,roll_deg,pitch_deg,roll_rate_dps,pitch_rate_dps,pid_roll_desired,pid_roll_P,pid_roll_I,pid_roll_D,pid_pitch_desired,pid_pitch_P,pid_pitch_I,pid_pitch_D,alt_rel_m,groundspeed_ms,throttle_pct,nav_pitch_deg,target_locked,dist_m
2185.831,+0.4562,-0.1963,0.0067,-0.0929,-0.6300,6.877,-4.717,-4.074,1.616,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,89.42,23.87,45,-0.330,1,795.4
2185.931,+0.4463,-0.2851,0.0100,-0.0943,-0.6343,6.107,-4.464,-3.192,1.755,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,89.11,23.89,45,-0.780,1,789.5
2186.022,+0.4220,-0.2912,0.0000,-0.0871,-0.6357,5.900,-4.396,-5.395,0.816,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,89.11,23.91,45,-0.930,1,789.5
2186.116,+0.4268,-0.3045,-0.0067,-0.0800,-0.6286,5.087,-4.358,-10.121,1.178,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.90,23.92,45,-1.320,1,784.9
2186.207,+0.4223,-0.3208,-0.0200,-0.0671,-0.5957,3.965,-3.947,-10.243,6.936,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.90,23.94,44,-1.920,1,784.9
2186.309,+0.4396,-0.4177,-0.0200,-0.0671,-0.5957,3.965,-3.947,-10.243,6.936,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.90,23.94,44,-1.920,1,784.9
2186.403,+0.4500,-0.5339,-0.0300,-0.0586,-0.5814,2.822,-3.193,-11.606,6.504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.74,23.95,44,-2.380,1,781.2
2186.520,+0.4505,-0.5767,-0.0533,-0.0371,-0.5314,1.200,-2.367,-6.793,6.252,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.62,23.96,44,-4.390,1,776.4
2186.632,+0.4529,-0.5589,-0.0600,-0.0314,-0.5257,0.647,-2.295,-1.267,-3.672,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.62,23.95,44,-6.660,1,776.4
2186.727,+0.4354,-0.4890,-0.0700,-0.0200,-0.4914,0.626,-2.455,-0.017,-2.415,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.59,23.94,43,-7.650,1,771.6
2186.835,+0.4343,-0.4444,-0.0700,-0.0171,-0.4771,0.792,-2.479,4.560,2.021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.59,23.93,43,-8.140,1,771.6
2186.944,+0.4605,-0.4611,-0.0667,-0.0171,-0.4371,1.630,-2.106,11.086,1.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.57,23.92,42,-9.530,1,766.9
2187.037,+0.4879,-0.3921,-0.0700,-0.0171,-0.4543,2.687,-2.628,9.320,-10.585,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.57,23.91,42,-10.840,1,766.9
2187.136,+0.5047,-0.2213,-0.0700,-0.0143,-0.4429,3.652,-3.687,10.056,-9.356,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.55,23.90,42,-11.140,1,762.0
2187.241,+0.4742,-0.1012,-0.0700,-0.0157,-0.4386,4.218,-4.114,11.137,-6.595,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.55,23.90,42,-10.970,1,762.0
2187.340,+0.4667,-0.0437,-0.0700,-0.0157,-0.4386,4.760,-4.403,12.002,-5.181,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.55,23.90,42,-10.970,1,762.0
2187.438,+0.4565,-0.0174,-0.0533,-0.0300,-0.4671,6.848,-5.129,14.244,-5.006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.45,23.91,41,-9.930,1,757.3
2187.548,+0.4738,+0.0615,-0.0500,-0.0371,-0.5000,8.851,-6.352,11.999,-9.230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.22,23.96,41,-9.790,1,752.4
2187.647,+0.4667,+0.2202,-0.0467,-0.0400,-0.5229,10.017,-7.236,11.439,-7.903,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.22,23.98,41,-9.680,1,752.4
2187.756,+0.4480,+0.2381,-0.0433,-0.0443,-0.5443,10.985,-8.046,8.000,-7.579,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.88,24.01,41,-8.610,1,747.8
