timestamp_s,errorx,errory,aileron,elevator,rudder,roll_deg,pitch_deg,roll_rate_dps,pitch_rate_dps,pid_roll_desired,pid_roll_P,pid_roll_I,pid_roll_D,pid_pitch_desired,pid_pitch_P,pid_pitch_I,pid_pitch_D,alt_rel_m,groundspeed_ms,throttle_pct,nav_pitch_deg,target_locked,dist_m
4629.317,-0.1979,-0.3074,-0.0200,0.1614,-0.6043,-0.393,-3.860,-0.809,0.061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.19,23.81,45,-0.450,1,590.8
4629.411,-0.1979,-0.3074,-0.0200,0.1614,-0.6043,-0.393,-3.860,-0.809,0.061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.19,23.81,45,-0.450,1,590.8
4629.506,-0.2084,-0.3260,-0.0200,0.1614,-0.6043,-0.508,-3.783,-0.324,2.510,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.06,23.81,45,-0.700,1,586.0
4629.606,-0.2100,-0.3824,-0.0133,0.1600,-0.5771,-0.507,-3.074,0.070,4.689,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.06,23.81,44,-1.480,1,586.0
4629.699,-0.2021,-0.4201,-0.0133,0.1600,-0.5686,-0.537,-2.717,-0.387,3.164,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,68.95,23.79,44,-1.900,1,581.2
4629.795,-0.2021,-0.4542,-0.0133,0.1614,-0.5500,-0.621,-2.443,-0.912,2.730,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,68.95,23.77,44,-2.870,1,581.2
4629.885,-0.2021,-0.4634,-0.0133,0.1614,-0.5414,-0.625,-2.433,-0.973,2.710,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,68.89,23.77,44,-3.200,1,576.5
4629.990,-0.1925,-0.4878,-0.0133,0.1629,-0.5114,-0.790,-2.057,-0.904,2.104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,68.89,23.74,44,-4.720,1,576.5
4630.092,-0.2000,-0.4777,-0.0133,0.1643,-0.5043,-1.015,-2.117,-1.962,-2.624,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,68.87,23.72,43,-6.010,1,572.9
4630.192,-0.2000,-0.4222,-0.0067,0.1643,-0.4900,-1.115,-2.285,-1.722,-3.195,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,68.87,23.71,43,-6.870,1,572.9
