timestamp_s,errorx,errory,aileron,elevator,rudder,roll_deg,pitch_deg,roll_rate_dps,pitch_rate_dps,pid_roll_desired,pid_roll_P,pid_roll_I,pid_roll_D,pid_pitch_desired,pid_pitch_P,pid_pitch_I,pid_pitch_D,alt_rel_m,groundspeed_ms,throttle_pct,nav_pitch_deg,target_locked,dist_m
1801.977,+0.5146,-0.3037,-0.0400,-0.0529,-0.6300,1.558,-3.773,-0.719,0.070,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.25,24.03,45,-0.250,1,742.7
1802.032,+0.5473,-0.3037,-0.0400,-0.0543,-0.6314,1.558,-3.773,-0.719,0.070,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.25,24.03,45,-0.290,1,742.7
1802.075,+0.5392,-0.3400,-0.0400,-0.0543,-0.6314,1.558,-3.773,-0.719,0.070,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.25,24.03,45,-0.290,1,742.7
1802.118,+0.5414,-0.3806,-0.0400,-0.0543,-0.6314,1.558,-3.773,-0.719,0.070,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.25,24.03,45,-0.290,1,742.7
1802.168,+0.5409,-0.4110,-0.0467,-0.0514,-0.6343,1.480,-3.755,-1.216,1.152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.25,24.03,45,-0.440,1,742.7
1802.228,+0.5402,-0.4881,-0.0533,-0.0429,-0.6086,1.408,-3.285,-0.188,8.260,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.16,24.03,45,-0.510,1,738.3
1802.273,+0.5664,-0.5228,-0.0600,-0.0386,-0.5900,1.408,-3.277,-0.204,8.143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.16,24.02,44,-0.740,1,738.3
1802.303,+0.5889,-0.5716,-0.0600,-0.0329,-0.5757,1.348,-2.459,-1.034,7.555,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.16,24.02,44,-0.940,1,738.3
1802.378,+0.5607,-0.5387,-0.0733,-0.0229,-0.5514,1.281,-2.128,-1.500,6.109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.08,24.00,44,-1.610,1,734.0
1802.413,+0.5882,-0.5802,-0.0800,-0.0200,-0.5457,1.279,-2.122,-1.494,6.105,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.08,23.99,44,-1.710,1,734.0
1802.460,+0.5822,-0.5931,-0.0800,-0.0171,-0.5371,1.089,-1.668,-2.266,4.413,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.08,23.99,44,-1.900,1,734.0
1802.492,+0.6015,-0.6311,-0.0867,-0.0143,-0.5257,1.005,-1.461,-1.348,4.292,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.08,23.94,44,-2.180,1,734.0
