timestamp_s,errorx,errory,aileron,elevator,rudder,roll_deg,pitch_deg,roll_rate_dps,pitch_rate_dps,pid_roll_desired,pid_roll_P,pid_roll_I,pid_roll_D,pid_pitch_desired,pid_pitch_P,pid_pitch_I,pid_pitch_D,alt_rel_m,groundspeed_ms,throttle_pct,nav_pitch_deg,target_locked,dist_m
1597.841,+0.6167,-0.1556,-0.0333,-0.0643,-0.6386,3.169,-1.707,-0.658,0.177,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.98,22.44,44,-0.280,1,694.6
1597.883,+0.6167,-0.1922,-0.0333,-0.0629,-0.6371,3.124,-1.708,-0.748,0.272,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.98,22.43,44,-0.340,1,694.6
1597.932,+0.6167,-0.1593,-0.0333,-0.0586,-0.6271,3.085,-1.657,-0.417,1.817,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.99,22.43,44,-0.290,1,689.5
1597.985,+0.6338,-0.2200,-0.0467,-0.0486,-0.6143,2.994,-1.347,-1.094,3.718,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.99,22.42,44,-0.390,1,689.5
1598.025,+0.6407,-0.2447,-0.0467,-0.0486,-0.6143,2.994,-1.347,-1.094,3.718,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.99,22.42,44,-0.390,1,689.5
1598.070,+0.6405,-0.2439,-0.0467,-0.0486,-0.6143,2.994,-1.347,-1.094,3.718,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.99,22.42,44,-0.390,1,689.5
1598.109,+0.6452,-0.3002,-0.0467,-0.0486,-0.6143,2.994,-1.347,-1.094,3.718,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.99,22.42,44,-0.390,1,689.5
1598.155,+0.6638,-0.2616,-0.0533,-0.0443,-0.6129,2.905,-1.179,-1.811,3.311,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.99,22.42,44,-0.590,1,689.5
1598.202,+0.6480,-0.3003,-0.0600,-0.0414,-0.6071,2.779,-1.036,-2.384,2.438,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.99,22.41,44,-0.590,1,685.3
1598.262,+0.6312,-0.2660,-0.0733,-0.0314,-0.6000,2.504,-0.892,-2.669,1.156,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.99,22.39,44,-0.970,1,685.3
