# pipeline profile — started 2026-08-27 09:04:18
[PROF 09:04:18]   1 frames   78.08 ms/frame  ->  12.8 FPS
   capture           9.27 ms   11.9%
   track             6.74 ms    8.6%
   ctrl+mav         10.66 ms   13.7%
   hud              24.60 ms   31.5%
   display          26.81 ms   34.3%
     detect          6.02 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     6.58 ms  (sub)
     hud:setup       0.16 ms  (sub)
     hud:ladder      2.09 ms  (sub)
     hud:warp       10.25 ms  (sub)
     hud:arc         1.17 ms  (sub)
     hud:blend       3.76 ms  (sub)
     hud:yaw         0.45 ms  (sub)
     hud:cross       0.06 ms  (sub)
     disp:record     0.01 ms  (sub)
     disp:imshow     5.95 ms  (sub)
     disp:waitkey   20.81 ms  (sub)
[PROF 09:04:20]  52 frames   23.96 ms/frame  ->  41.7 FPS
   capture           5.82 ms   24.3%
   track             6.43 ms   26.8%
   ctrl+mav          0.51 ms    2.1%
   hud               5.69 ms   23.7%
   display           5.52 ms   23.0%
     detect          5.91 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     1.00 ms  (sub)
     hud:setup       0.10 ms  (sub)
     hud:ladder      0.13 ms  (sub)
     hud:warp        2.64 ms  (sub)
     hud:arc         0.07 ms  (sub)
     hud:blend       1.21 ms  (sub)
     hud:yaw         0.43 ms  (sub)
     hud:cross       0.06 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.76 ms  (sub)
     disp:waitkey    4.72 ms  (sub)
[PROF 09:04:22]  59 frames   23.34 ms/frame  ->  42.8 FPS
   capture           4.72 ms   20.2%
   track             6.34 ms   27.2%
   ctrl+mav          0.46 ms    2.0%
   hud               5.79 ms   24.8%
   display           6.03 ms   25.8%
     detect          5.78 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     1.01 ms  (sub)
     hud:setup       0.11 ms  (sub)
     hud:ladder      0.14 ms  (sub)
     hud:warp        2.61 ms  (sub)
     hud:arc         0.09 ms  (sub)
     hud:blend       1.25 ms  (sub)
     hud:yaw         0.46 ms  (sub)
     hud:cross       0.07 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.83 ms  (sub)
     disp:waitkey    5.15 ms  (sub)
[PROF 09:04:24]  55 frames   23.19 ms/frame  ->  43.1 FPS
   capture           4.78 ms   20.6%
   track             6.67 ms   28.7%
   ctrl+mav          0.45 ms    1.9%
   hud               5.70 ms   24.6%
   display           5.61 ms   24.2%
     detect          6.11 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     1.01 ms  (sub)
     hud:setup       0.10 ms  (sub)
     hud:ladder      0.14 ms  (sub)
     hud:warp        2.54 ms  (sub)
     hud:arc         0.08 ms  (sub)
     hud:blend       1.26 ms  (sub)
     hud:yaw         0.46 ms  (sub)
     hud:cross       0.06 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.76 ms  (sub)
     disp:waitkey    4.80 ms  (sub)
[PROF 09:04:26]  56 frames   23.14 ms/frame  ->  43.2 FPS
   capture           4.85 ms   21.0%
   track             6.53 ms   28.2%
   ctrl+mav          0.49 ms    2.1%
   hud               5.69 ms   24.6%
   display           5.59 ms   24.1%
     detect          6.03 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     0.99 ms  (sub)
     hud:setup       0.12 ms  (sub)
     hud:ladder      0.14 ms  (sub)
     hud:warp        2.60 ms  (sub)
     hud:arc         0.07 ms  (sub)
     hud:blend       1.20 ms  (sub)
     hud:yaw         0.47 ms  (sub)
     hud:cross       0.06 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.57 ms  (sub)
     disp:waitkey    4.97 ms  (sub)
[PROF 09:04:28]  56 frames   23.01 ms/frame  ->  43.5 FPS
   capture           4.68 ms   20.3%
   track             6.49 ms   28.2%
   ctrl+mav          0.48 ms    2.1%
   hud               5.85 ms   25.4%
   display           5.50 ms   23.9%
     detect          5.98 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     1.01 ms  (sub)
     hud:setup       0.11 ms  (sub)
     hud:ladder      0.15 ms  (sub)
     hud:warp        2.72 ms  (sub)
     hud:arc         0.07 ms  (sub)
     hud:blend       1.21 ms  (sub)
     hud:yaw         0.47 ms  (sub)
     hud:cross       0.06 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.57 ms  (sub)
     disp:waitkey    4.89 ms  (sub)
[PROF 09:04:30]  54 frames   23.23 ms/frame  ->  43.0 FPS
   capture           5.22 ms   22.5%
   track             6.74 ms   29.0%
   ctrl+mav          0.57 ms    2.4%
   hud               5.46 ms   23.5%
   display           5.25 ms   22.6%
     detect          6.18 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     1.02 ms  (sub)
     hud:setup       0.10 ms  (sub)
     hud:ladder      0.14 ms  (sub)
     hud:warp        2.40 ms  (sub)
     hud:arc         0.07 ms  (sub)
     hud:blend       1.17 ms  (sub)
     hud:yaw         0.46 ms  (sub)
     hud:cross       0.06 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.60 ms  (sub)
     disp:waitkey    4.60 ms  (sub)
[PROF 09:04:32]  60 frames   22.57 ms/frame  ->  44.3 FPS
   capture           4.89 ms   21.7%
   track             6.16 ms   27.3%
   ctrl+mav          0.46 ms    2.1%
   hud               5.64 ms   25.0%
   display           5.41 ms   24.0%
     detect          5.62 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     0.99 ms  (sub)
     hud:setup       0.10 ms  (sub)
     hud:ladder      0.13 ms  (sub)
     hud:warp        2.63 ms  (sub)
     hud:arc         0.07 ms  (sub)
     hud:blend       1.17 ms  (sub)
     hud:yaw         0.46 ms  (sub)
     hud:cross       0.06 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.67 ms  (sub)
     disp:waitkey    4.70 ms  (sub)
[PROF 09:04:34]  59 frames   22.55 ms/frame  ->  44.3 FPS
   capture           4.77 ms   21.1%
   track             6.51 ms   28.9%
   ctrl+mav          0.43 ms    1.9%
   hud               5.52 ms   24.5%
   display           5.33 ms   23.6%
     detect          6.00 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     1.04 ms  (sub)
     hud:setup       0.10 ms  (sub)
     hud:ladder      0.18 ms  (sub)
     hud:warp        2.40 ms  (sub)
     hud:arc         0.08 ms  (sub)
     hud:blend       1.18 ms  (sub)
     hud:yaw         0.45 ms  (sub)
     hud:cross       0.06 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.57 ms  (sub)
     disp:waitkey    4.71 ms  (sub)
[PROF 09:04:36]  56 frames   22.91 ms/frame  ->  43.6 FPS
   capture           5.15 ms   22.5%
   track             6.37 ms   27.8%
   ctrl+mav          0.50 ms    2.2%
