# pipeline profile — started 2026-08-27 09:24:23
[PROF 09:24:23]  14 frames   19.27 ms/frame  ->  51.9 FPS
   capture           3.52 ms   18.3%
   track             5.47 ms   28.4%
   ctrl+mav          0.60 ms    3.1%
   hud               3.42 ms   17.8%
   display           6.26 ms   32.5%
     detect          4.89 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     0.62 ms  (sub)
     hud:setup       0.08 ms  (sub)
     hud:ladder      0.09 ms  (sub)
     hud:warp        1.45 ms  (sub)
     hud:arc         0.05 ms  (sub)
     hud:blend       0.73 ms  (sub)
     hud:yaw         0.32 ms  (sub)
     hud:cross       0.04 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     1.31 ms  (sub)
     disp:waitkey    4.89 ms  (sub)
[PROF 09:24:25]  56 frames   17.33 ms/frame  ->  57.7 FPS
   capture           3.03 ms   17.5%
   track             5.42 ms   31.3%
   ctrl+mav          0.29 ms    1.7%
   hud               3.55 ms   20.5%
   display           5.04 ms   29.1%
     detect          4.95 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     0.61 ms  (sub)
     hud:setup       0.08 ms  (sub)
     hud:ladder      0.10 ms  (sub)
     hud:warp        1.55 ms  (sub)
     hud:arc         0.05 ms  (sub)
     hud:blend       0.75 ms  (sub)
     hud:yaw         0.33 ms  (sub)
     hud:cross       0.05 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.58 ms  (sub)
     disp:waitkey    4.42 ms  (sub)
[PROF 09:24:27]  57 frames   17.78 ms/frame  ->  56.3 FPS
   capture           2.97 ms   16.7%
   track             5.72 ms   32.2%
   ctrl+mav          0.32 ms    1.8%
   hud               3.84 ms   21.6%
   display           4.92 ms   27.7%
     detect          5.24 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     0.67 ms  (sub)
     hud:setup       0.09 ms  (sub)
     hud:ladder      0.09 ms  (sub)
     hud:warp        1.61 ms  (sub)
     hud:arc         0.05 ms  (sub)
     hud:blend       0.91 ms  (sub)
     hud:yaw         0.33 ms  (sub)
     hud:cross       0.05 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.62 ms  (sub)
     disp:waitkey    4.26 ms  (sub)
[PROF 09:24:29]  57 frames   18.23 ms/frame  ->  54.9 FPS
   capture           3.35 ms   18.4%
   track             5.71 ms   31.3%
   ctrl+mav          0.34 ms    1.8%
   hud               3.64 ms   20.0%
   display           5.19 ms   28.5%
     detect          5.17 ms  (sub)
