timestamp_s,errorx,errory,aileron,elevator,rudder,roll_deg,pitch_deg,roll_rate_dps,pitch_rate_dps,pid_roll_desired,pid_roll_P,pid_roll_I,pid_roll_D,pid_pitch_desired,pid_pitch_P,pid_pitch_I,pid_pitch_D,alt_rel_m,groundspeed_ms,throttle_pct,nav_pitch_deg,target_locked,dist_m
800.301,+0.0000,+0.0000,0.1000,-0.0178,-0.4622,12.555,-2.992,-4.878,0.880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.68,24.34,44,-0.250,0,741.6
800.329,+0.0000,+0.0000,0.1000,-0.0178,-0.4622,12.555,-2.992,-4.878,0.880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.68,24.34,44,-0.250,0,741.6
800.362,+0.0000,+0.0000,0.1000,-0.0178,-0.4622,12.555,-2.992,-4.878,0.880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.68,24.34,44,-0.250,0,741.6
800.389,+0.7833,-0.1037,0.1000,-0.0178,-0.4622,12.555,-2.992,-4.878,0.880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.68,24.34,44,-0.250,1,741.6
800.434,+0.8029,-0.1386,0.1000,-0.0178,-0.4622,12.555,-2.992,-4.878,0.880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.68,24.32,44,-0.250,1,741.6
800.463,+0.7854,-0.2118,0.0750,0.0044,-0.4778,10.607,-3.238,-19.816,-0.612,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.57,24.32,44,-0.570,1,735.8
800.494,+0.8137,-0.3160,0.0550,0.0133,-0.4444,9.620,-3.179,-19.206,4.406,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.57,24.32,44,-0.850,1,735.8
800.520,+0.8190,-0.4095,0.0400,0.0200,-0.4289,8.641,-2.863,-20.335,6.960,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.57,24.31,44,-0.980,1,735.8
800.550,+0.8190,-0.4095,0.0400,0.0200,-0.4289,8.641,-2.863,-20.335,6.960,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.57,24.31,44,-0.980,0,735.8
800.602,+0.8190,-0.4095,0.0400,0.0200,-0.4289,8.641,-2.863,-20.335,6.960,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.57,24.31,44,-0.980,0,735.8
800.640,+0.8190,-0.4095,0.0400,0.0200,-0.4289,8.641,-2.863,-20.335,6.960,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.57,24.31,44,-0.980,0,735.8
800.670,+0.8118,-0.8840,0.0400,0.0200,-0.4289,8.641,-2.863,-20.335,6.960,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.57,24.29,44,-0.980,1,735.8
800.707,+0.7958,-0.3967,0.0200,0.0356,-0.4222,6.251,-2.027,-24.509,6.667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.47,24.28,44,-1.290,1,731.2
800.738,+0.7680,-0.4088,0.0050,0.0433,-0.4167,4.898,-1.746,-25.982,4.259,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.47,24.28,44,-1.680,1,731.2
800.763,+0.7600,-0.5430,-0.0050,0.0511,-0.4111,3.568,-1.581,-26.132,2.674,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.47,24.28,44,-2.140,1,731.2
800.799,+0.7674,-0.5035,-0.0200,0.0633,-0.4078,3.568,-1.581,-26.132,2.674,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.47,24.28,44,-2.140,1,731.2
800.827,+0.7302,-0.5434,-0.0200,0.0633,-0.4078,3.568,-1.581,-26.132,2.674,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.47,24.28,44,-2.140,1,731.2
800.862,+0.7358,-0.5727,-0.0200,0.0633,-0.4078,3.568,-1.581,-26.132,2.674,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.47,24.28,44,-2.140,1,731.2
800.889,+0.7178,-0.6366,-0.0200,0.0633,-0.4078,3.568,-1.581,-26.132,2.674,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.47,24.28,44,-2.140,1,731.2
800.928,+0.7095,-0.5461,-0.0200,0.0633,-0.4078,1.356,-1.337,-14.474,2.043,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.47,24.23,44,-2.140,1,731.2
800.956,+0.6810,-0.5436,-0.0550,0.0833,-0.3944,0.138,-1.211,-10.949,1.709,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.47,24.21,44,-2.690,1,725.5
800.990,+0.6895,-0.4444,-0.0800,0.0978,-0.3733,0.127,-1.209,-10.729,1.909,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.49,24.21,44,-3.550,1,724.3
801.113,+0.7071,-0.4596,-0.0950,0.1100,-0.3922,-0.480,-1.262,-12.088,-3.635,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.49,24.17,44,-4.270,1,724.3
